
  Obs        make  ev_count  share_pct
-----  ----------  --------  ---------
    1  TESLA             11      36.67
    2  NISSAN             4      13.33
    3  CHEVROLET          3      10.00
    4  FORD               3      10.00
    5  BMW                2       6.67
    6  KIA                2       6.67
    7  TOYOTA             1       3.33
    8  VOLKSWAGEN         1       3.33
    9  JEEP               1       3.33
   10  AUDI               1       3.33
   11  HONDA              1       3.33

